triggerid,trigger_name,period_start,period_end,timezone,initial_state,total_seconds,ok_seconds,problem_seconds,availability_percent,problem_percent,incident_count,max_problem_seconds,calculation_status,maintenance_considered,calculated_at
13075,Zabbix server: More than 95% used in the value cache,2026-03-01T00:00:00-03:00,2026-05-20T23:59:59-03:00,America/Sao_Paulo,OK,6998399,6994619,3780,99.946,0.054,1,3780,OK,NO,2026-05-21T17:06:24.914187-03:00
13558,Zabbix server: Zabbix value cache working in low memory mode,2026-03-01T00:00:00-03:00,2026-05-20T23:59:59-03:00,America/Sao_Paulo,OK,6998399,6960779,37620,99.4624,0.5376,1,37620,OK,NO,2026-05-21T17:06:24.914187-03:00
